,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion,Number
250,light on the mountains,shadows in the green valleys,grey clouds in the sky,light on the mountains shadows in the green valleys grey clouds in the sky, , , ,251
251,grey clouds in the sky,silver blue waters in pool,shadows reflecting,grey clouds in the sky silver blue waters in pool shadows reflecting, , , ,252
252,lake of magic tales,light of heaven shining here,with soft autumn shades,lake of magic tales light of heaven shining here with soft autumn shades, , , ,253
253,green gold autumn hues,shadows long with sun so low,distant sea and sky,green gold autumn hues shadows long with sun so low distant sea and sky, , , ,254
254,in this autumn morn,rusty reflections of trees,gliding of the swans,in this autumn morn rusty reflections of trees gliding of the swans, , , ,255
255,bright lights in the wood,shimmering in the shadows,leaves of maple tree,bright lights in the wood shimmering in the shadows leaves of maple tree, , , ,256
256,copper medals shine,natures prizes for beauty,in magic beech leaves,copper medals shine natures prizes for beauty in magic beech leaves, , , ,257
257,by a cross of stone,guarding this ancient vast place,play young lives of now,by a cross of stone guarding this ancient vast place play young lives of now, , , ,258
258,restless clouds dancing,copper and jade trees sailing,mirror of the lake,restless clouds dancing copper and jade trees sailing mirror of the lake, , , ,259
259,golden waters still,autumn leaves fading away,glimpse of mallard ducks,golden waters still autumn leaves fading away glimpse of mallard ducks, , , ,260
260,dark shadows shining,shadows of gold and green shades,shadows of trees glow,dark shadows shining shadows of gold and green shades shadows of trees glow, , , ,261
261,flash of a rainbow,jewels of ruby and gold,natures raw beauty,flash of a rainbow jewels of ruby and gold natures raw beauty, , , ,262
262,on cold gusty winds,that tall trees sway and dance to,wintertime arrives,on cold gusty winds that tall trees sway and dance to wintertime arrives, , , ,263
263,end of the old year,renewal of clock of time,fading of the past,end of the old year renewal of clock of time fading of the past, , , ,264
264,golden eyes to stare,jet black like the darkest night,king of his domain,golden eyes to stare jet black like the darkest night king of his domain, , , ,265
265,wild ponies of wales,ancestors of the high hills,rooted in this place,wild ponies of wales ancestors of the high hills rooted in this place, , , ,266
266,stillness in the air,snow carpeting the green fields,grey light shines from sky,stillness in the air snow carpeting the green fields grey light shines from sky, , , ,267
267,tall trees give shelter,in wind  rain and icy snow,guiding and guarding,tall trees give shelter in wind  rain and icy snow guiding and guarding, , , ,268
268,on snowy hill top,the shepherd watches his sheep,thinking and dreaming,on snowy hill top the shepherd watches his sheep thinking and dreaming, , , ,269
269,walking on the path,by snow covered welsh castle,a lady in red,walking on the path by snow covered welsh castle a lady in red, , , ,270
270,the old oak tree stands,protecting and sheltering,with its outstretched arms,the old oak tree stands protecting and sheltering with its outstretched arms, , , ,271
271,snow blankets the ridge,below billowing white clouds,sunlight and shadows,snow blankets the ridge below billowing white clouds sunlight and shadows, , , ,272
272,end of winters day,sun dying over the sea,golden memories,end of winters day sun dying over the sea golden memories, , , ,273
273,sheep speckled mountain,people treading the old paths,welsh black cattle graze,sheep speckled mountain people treading the old paths welsh black cattle graze, , , ,274
274,rocks and sand and sea,pools of icy cold water,winter memories,rocks and sand and sea pools of icy cold water winter memories, , , ,275
275,spring birth of nature,soft coloured mists fill the air,winter is fading,spring birth of nature soft coloured mists fill the air winter is fading, , , ,276
276,sleeping trees waken,now lit with soft leaves of light,warming  the cold woods,sleeping trees waken now lit with soft leaves of light warming  the cold woods, , , ,277
277,snow topped hills of wales,sheep grazing on the steep slopes,land of poetry,snow topped hills of wales sheep grazing on the steep slopes land of poetry, , , ,278
278,celebrate easter,resurrection from the earth,the gifts of new life,celebrate easter resurrection from the earth the gifts of new life, , , ,279
279,silver dancer sways,slender branches blow in wind,sacred tree of old,silver dancer sways slender branches blow in wind sacred tree of old, , , ,280
280,seven hundred years,the abbey walls have listened,in prayer and silence,seven hundred years the abbey walls have listened in prayer and silence, , , ,281
281,snow covers the floor,no roof to protect from storms,shelter from stone walls,snow covers the floor no roof to protect from storms shelter from stone walls, , , ,282
282,for two hundred years,horseshoe pass road twists and bends,hanging on mountain,for two hundred years horseshoe pass road twists and bends hanging on mountain, , , ,283
283,ancient stones watching,history remembering,people enjoying,ancient stones watching history remembering people enjoying, , , ,284
284,slate quarries now gone,cottage sleeping in the past,mountain memories,slate quarries now gone cottage sleeping in the past mountain memories, , , ,285
285,windows on the world,past lives decayed in the past,locked still in the stones,windows on the world past lives decayed in the past locked still in the stones, , , ,286
286,in serene silence,where buzzards soar in the sky,the white summer house,in serene silence where buzzards soar in the sky the white summer house, , , ,287
287,twisting road through pass,mists of secret ancient times,mountains of giants,twisting road through pass mists of secret ancient times mountains of giants, , , ,288
288,reaching to the sky,beauty in its silent grace,protecting the graves,reaching to the sky beauty in its silent grace protecting the graves, , , ,289
289,seats to watch over,the precious sleeping children,with love and beauty,seats to watch over the precious sleeping children with love and beauty, , , ,290
290,new foal of pure gold,spirit of the high mountains,so wild and carefree,new foal of pure gold spirit of the high mountains so wild and carefree, , , ,291
291,spirited ponies,breathe the welsh air of heaven,peaceful in silence,spirited ponies breathe the welsh air of heaven peaceful in silence, , , ,292
292,watching the ponies,standing in the warm sunshine,moments of beauty,watching the ponies standing in the warm sunshine moments of beauty, , , ,293
293,glowing garden glens,glimmering green galleries,give gentle glances,glowing garden glens glimmering green galleries give gentle glances, , , ,294
294,reaching to heaven,clouds of white billowing mists,so far yet so near,reaching to heaven clouds of white billowing mists so far yet so near, , , ,295
295,free as bird that flies,where mountain peaks are so high,valleys  lakes and sea,free as bird that flies where mountain peaks are so high valleys  lakes and sea, , , ,296
296,necks arched in repose,stillness in the silent air,swan song of beauty,necks arched in repose stillness in the silent air swan song of beauty, , , ,297
297,meet at the arbour,looking over green woodlands,to distant landscape,meet at the arbour looking over green woodlands to distant landscape, , , ,298
